gene_id	gene_name	GM12878_REP1	GM12878_REP2	H1_REP1	H1_REP2	K562_REP1	K562_REP2	MCF7_REP1	MCF7_REP2
ENSG00000222076	RNU2-3P	0	1	0	0	2	4	0	0
ENSG00000222078	RN7SKP110	0	0	0	0	0	2	2	1
ENSG00000222079	AC020636.1	0	0	0	0	0	0	0	0
ENSG00000222080	AL356310.1	0	0	0	0	0	0	0	0
ENSG00000222084	AL445074.1	0	0	0	0	0	0	0	0
ENSG00000222085	AC024568.1	0	0	0	1	0	0	0	1
ENSG00000222086	AC010609.1	0	0	0	0	0	0	0	0
ENSG00000222087	RNU6-721P	0	0	0	0	0	0	0	0
ENSG00000222092	RNU6-908P	0	0	0	0	0	0	0	0
ENSG00000222094	RNU2-65P	0	0	0	0	0	0	0	0
ENSG00000222095	SNORD113	0	0	0	0	0	0	0	0
ENSG00000222096	AC019051.1	0	0	0	0	0	0	0	0
ENSG00000222099	RN7SKP32	0	0	0	0	0	0	0	0
ENSG00000222100	RNA5SP316	0	0	0	0	0	0	0	0
ENSG00000222101	AC091705.2	0	0	0	0	0	0	0	0
ENSG00000222102	RN7SKP232	0	0	0	0	0	0	0	0
ENSG00000222107	RN7SKP117	0	0	0	0	0	0	0	0
ENSG00000222108	RNA5SP317	0	0	0	0	0	0	0	0
ENSG00000222109	AC093515.1	0	0	0	0	0	0	0	0
ENSG00000222111	RN7SKP148	0	0	0	0	0	0	0	0
ENSG00000222112	RN7SKP16	0	0	3	3	4	7	14	14
ENSG00000222114	RNU6-985P	0	0	0	0	0	0	0	0
ENSG00000222117	AL391867.1	0	0	0	0	0	0	0	0
ENSG00000222118	RNA5SP487	0	0	0	0	0	0	0	0
ENSG00000222120	RNA5SP81	0	0	0	0	0	0	0	0
ENSG00000222121	AL512290.1	0	0	0	0	0	0	0	0
ENSG00000222122	RNU6-648P	0	0	0	0	0	0	0	0
ENSG00000222123	RNA5SP390	0	0	0	0	0	0	0	0
ENSG00000222126	RNU2-9P	0	0	0	0	0	0	0	0
ENSG00000222129	RNA5SP36	0	0	0	0	0	0	0	0
ENSG00000222133	AC003666.1	0	0	0	0	0	0	0	0
ENSG00000222139	RNU6-380P	0	0	0	0	0	0	0	0
ENSG00000222145	SNORA73	0	0	0	0	0	0	0	0
ENSG00000222146	RNU4-37P	0	0	0	0	0	0	0	0
ENSG00000222148	RNY4P30	0	0	0	0	0	0	0	0
ENSG00000222150	RNA5SP239	0	0	0	0	0	0	0	0
ENSG00000222152	RNU6-1166P	0	0	0	0	0	0	0	0
ENSG00000222154	RN7SKP218	0	0	0	0	0	0	0	0
ENSG00000222158	AP003471.2	0	0	0	0	0	0	0	0
ENSG00000222160	Y_RNA	0	0	0	0	0	0	0	0
ENSG00000222161	Z97356.1	0	0	0	0	0	0	0	0
ENSG00000222162	RN7SKP151	0	4	0	0	0	0	2	0
ENSG00000222164	RN7SKP266	0	0	0	0	0	0	0	0
ENSG00000222168	Y_RNA	0	0	0	0	0	0	0	0
ENSG00000222169	AL162590.1	0	0	0	0	0	0	0	0
ENSG00000222170	RNU6-257P	0	0	0	0	0	0	0	0
ENSG00000222174	RN7SKP146	0	0	0	0	0	0	0	0
ENSG00000222177	RNU4-30P	0	0	0	0	0	0	0	0
ENSG00000222178	RNA5SP181	0	0	0	0	0	0	0	0
ENSG00000222179	RN7SKP26	0	1	1	0	24	2	2	4
ENSG00000222182	RNA5SP156	0	0	0	0	0	0	0	0
ENSG00000222185	SNORD113	0	0	0	0	0	0	0	0
ENSG00000222190	MIR1910	0	0	0	0	0	0	0	1
ENSG00000222192	Y_RNA	0	0	0	0	0	0	0	0
ENSG00000222196	AC121157.1	0	0	0	0	0	0	0	0
ENSG00000222197	AL359836.1	0	0	0	0	0	0	0	0
ENSG00000222202	RNU4-26P	0	0	0	0	0	0	0	0
ENSG00000222203	Y_RNA	0	0	0	0	0	0	0	0
ENSG00000222205	RNA5SP266	0	0	0	0	0	0	0	0
ENSG00000222206	Y_RNA	0	0	0	0	0	0	0	0
ENSG00000222207	RNA5SP407	0	0	0	0	0	0	0	0
ENSG00000222208	RNA5SP129	0	0	0	0	19	0	1	0
ENSG00000222209	RNA5SP56	0	0	0	0	0	0	0	0
ENSG00000222210	RN7SKP65	0	0	0	0	0	0	0	0
ENSG00000222213	RNU6-588P	0	0	0	0	0	0	0	0
ENSG00000222219	AC091736.1	0	0	0	0	0	0	0	0
ENSG00000222220	RN7SKP129	0	0	0	0	0	0	0	0
ENSG00000222222	RNU2-17P	21	0	1	2	0	3	3	8
ENSG00000222224	Y_RNA	0	0	0	0	0	0	0	0
ENSG00000222225	RNU6-447P	0	2	0	0	0	3	0	3
ENSG00000222226	AC006926.1	0	0	0	0	0	0	0	0
ENSG00000222230	RNA5SP158	0	0	0	0	0	0	0	0
ENSG00000222231	RNU2-54P	0	0	0	0	0	0	1	0
ENSG00000222232	RNA5SP89	0	0	0	0	0	0	0	0
ENSG00000222235	AL157392.1	0	0	0	0	0	0	0	0
ENSG00000222236	RNA5SP163	0	0	0	0	0	0	0	0
ENSG00000222238	RNU2-43P	0	0	0	0	7	0	0	0
ENSG00000222240	RN7SKP156	0	0	0	0	0	0	0	0
ENSG00000222244	RNA5SP431	0	0	0	0	0	0	0	0
ENSG00000222246	MIR1471	0	0	0	0	0	0	0	0
ENSG00000222248	RNA5SP201	0	0	0	0	0	0	1	1
ENSG00000222249	RNU6-262P	0	0	0	0	0	0	0	0
ENSG00000222251	RNA5SP95	0	0	0	0	0	0	0	0
ENSG00000222255	RNU6-101P	0	0	0	0	0	0	0	0
ENSG00000222257	RN7SKP199	0	0	0	0	0	0	0	0
ENSG00000222259	RN7SKP114	1	0	2	1	0	0	3	6
ENSG00000222262	AC092846.1	0	0	0	0	0	0	0	0
ENSG00000222266	RNU6-757P	0	0	0	0	0	0	1	1
ENSG00000222267	RNU6-892P	0	0	6	0	0	0	1	0
ENSG00000222268	RNA5SP425	0	0	0	0	0	0	0	0
ENSG00000222274	AC018690.1	0	0	0	0	0	0	0	0
ENSG00000222276	RNU2-33P	1	0	0	0	0	0	2	1
ENSG00000222281	RN7SKP111	0	0	0	0	0	0	2	0
ENSG00000222282	RNU6-584P	0	0	0	0	0	0	0	0
ENSG00000222285	RNA5SP193	0	0	0	0	0	0	0	0
ENSG00000222287	RNU6-1043P	0	0	0	0	0	0	0	0
ENSG00000222293	RNU2-36P	0	0	0	0	0	0	0	0
ENSG00000222296	Y_RNA	0	0	0	0	0	0	0	0
ENSG00000222297	RNU6-1156P	0	0	0	0	0	0	0	0
ENSG00000222298	AL031655.2	0	0	0	0	0	0	0	0
ENSG00000222299	AC009142.1	0	0	0	0	0	0	0	0
ENSG00000222300	RNU2-21P	0	0	0	0	0	0	0	0
ENSG00000222301	RNY5P8	0	0	1	0	0	0	1	0
ENSG00000222302	RNA5SP371	0	0	0	0	0	0	0	0
ENSG00000222303	RNU6-935P	0	0	0	0	0	0	0	0
ENSG00000222305	Y_RNA	0	0	0	0	0	0	0	0
ENSG00000222306	Y_RNA	0	0	0	0	0	0	0	0
ENSG00000222308	RNA5SP198	0	0	0	0	0	0	0	0
ENSG00000222309	AL391839.1	0	0	0	0	0	0	0	0
ENSG00000222311	AC084882.1	0	0	0	0	0	0	0	0
ENSG00000222312	RNA5SP178	0	0	0	0	0	0	0	0
ENSG00000222313	RN7SKP267	0	0	0	0	0	0	0	0
ENSG00000222316	AC008581.1	0	0	1	0	0	0	0	1
ENSG00000222317	RNA5SP118	0	0	0	0	0	0	0	0
ENSG00000222320	RNU6-1050P	0	0	0	0	0	0	0	0
ENSG00000222321	MIR1912	0	0	0	0	0	0	0	0
ENSG00000222326	MIR1908	0	0	0	0	0	0	0	0
ENSG00000222327	RNU6-855P	0	0	0	0	0	0	0	0
ENSG00000222328	RNU2-2P	582.259	408.908	715.208	464.79	466.708	623.524	726.722	980.343
ENSG00000222331	AC104434.1	0	0	0	0	0	0	0	0
ENSG00000222333	AC093680.1	0	0	0	0	0	0	0	0
ENSG00000222334	AC105242.1	0	0	0	0	0	0	0	0
ENSG00000222335	Y_RNA	0	0	0	0	0	0	0	0
ENSG00000222337	RN7SKP225	0	0	0	1	0	0	0	0
ENSG00000222338	RNU6-174P	0	0	0	0	0	0	0	0
ENSG00000222339	AP000807.2	0	0	0	0	0	0	0	0
ENSG00000222343	RN7SKP139	0	0	0	0	0	0	0	0
ENSG00000222344	RNU6-613P	0	0	0	0	0	0	0	0
ENSG00000222345	SNORD19	0	0	0	0	0	0	1	0
ENSG00000222346	RNA5SP237	0	0	1	0	0	0	0	2
ENSG00000222348	RNU6-814P	0	0	0	0	0	0	0	0
ENSG00000222351	Y_RNA	0	0	0	0	0	0	0	0
ENSG00000222352	RN7SKP221	0	0	0	0	0	0	3.755	0
ENSG00000222355	RNU2-29P	0	0	0	0	0	0	0	0
ENSG00000222356	RNU6-710P	0	0	0	0	0	0	0	0
ENSG00000222357	RNU2-20P	0	0	0	0	0	0	0	0
ENSG00000222361	RNU6-1186P	0	0	0	0	0	0	0	0
ENSG00000222363	RNU4-34P	0	0	0	0	0	0	0	0
ENSG00000222364	RNU6-96P	0	0	0	0	0	0	0	0
ENSG00000222365	SNORD12B	0	0	14.044	6	0	1	23	25
ENSG00000222370	SNORA36B	0	0	0	0	14	2	0	0
ENSG00000222371	RN7SKP202	0	0	0	0	0	0	0	0
ENSG00000222373	RNY5P5	0	0	0	0	0	0	0	0
ENSG00000222374	AC022021.1	0	0	0	0	0	0	0	0
ENSG00000222375	RN7SKP127	0	1	0	0	0	0	0	0
ENSG00000222376	RN7SKP152	0	0	0	0	0	0	0	0
ENSG00000222378	RNA5SP44	0	0	0	0	0	0	0	0
ENSG00000222383	RNA5SP203	0	0	0	0	0	0	0	0
