## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT MCF7_REP2.sorted.bam --OUTPUT MCF7_REP2.markdup.sorted.bam --METRICS_FILE MCF7_REP2.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE genome.fa --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Mar 21 23:03:54 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	115380431	0	0	0	49079584	0	0.425372	93559192

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
277.0	0	23	23
278.0	0	21	21
279.0	0	31	31
280.0	0	35	35
281.0	0	26	26
282.0	0	20	20
283.0	0	29	29
284.0	0	30	30
285.0	0	29	29
286.0	0	31	31
287.0	0	26	26
288.0	0	34	34
289.0	0	32	32
290.0	0	18	18
291.0	0	20	20
292.0	0	28	28
293.0	0	23	23
294.0	0	16	16
295.0	0	28	28
296.0	0	26	26
297.0	0	32	32
298.0	0	22	22
299.0	0	23	23
300.0	0	18	18
301.0	0	22	22
302.0	0	23	23
303.0	0	28	28
304.0	0	24	24
305.0	0	24	24
306.0	0	33	33
307.0	0	20	20
308.0	0	24	24
309.0	0	23	23
310.0	0	15	15
311.0	0	25	25
312.0	0	17	17
313.0	0	25	25
314.0	0	13	13
315.0	0	27	27
316.0	0	23	23
317.0	0	26	26
318.0	0	22	22
319.0	0	16	16
320.0	0	25	25
321.0	0	13	13
322.0	0	21	21
323.0	0	23	23
324.0	0	16	16
325.0	0	22	22
326.0	0	21	21
327.0	0	23	23
328.0	0	16	16
329.0	0	20	20
330.0	0	21	21
331.0	0	16	16
332.0	0	22	22
333.0	0	21	21
334.0	0	19	19
335.0	0	19	19
336.0	0	17	17
337.0	0	18	18
338.0	0	16	16
339.0	0	19	19
340.0	0	19	19
341.0	0	17	17
342.0	0	18	18
343.0	0	17	17
344.0	0	10	10
345.0	0	15	15
346.0	0	15	15
347.0	0	23	23
348.0	0	14	14
349.0	0	20	20
350.0	0	21	21
351.0	0	18	18
352.0	0	14	14
353.0	0	17	17
354.0	0	10	10
355.0	0	14	14
356.0	0	22	22
357.0	0	7	7
358.0	0	11	11
359.0	0	9	9
360.0	0	11	11
361.0	0	16	16
362.0	0	12	12
363.0	0	15	15
364.0	0	12	12
365.0	0	16	16
366.0	0	12	12
367.0	0	17	17
368.0	0	15	15
369.0	0	11	11
370.0	0	13	13
371.0	0	11	11
372.0	0	11	11
373.0	0	8	8
374.0	0	13	13
375.0	0	15	15
376.0	0	19	19
377.0	0	20	20
378.0	0	11	11
379.0	0	13	13
380.0	0	13	13
381.0	0	9	9
382.0	0	14	14
383.0	0	10	10
384.0	0	5	5
385.0	0	15	15
386.0	0	10	10
387.0	0	7	7
388.0	0	14	14
389.0	0	13	13
390.0	0	19	19
391.0	0	9	9
392.0	0	10	10
393.0	0	16	16
394.0	0	9	9
395.0	0	12	12
396.0	0	13	13
397.0	0	16	16
398.0	0	6	6
399.0	0	11	11
400.0	0	8	8
401.0	0	9	9
402.0	0	13	13
403.0	0	10	10
404.0	0	14	14
405.0	0	7	7
406.0	0	11	11
407.0	0	9	9
408.0	0	12	12
409.0	0	9	9
410.0	0	12	12
411.0	0	13	13
412.0	0	5	5
413.0	0	15	15
414.0	0	10	10
415.0	0	9	9
416.0	0	9	9
417.0	0	8	8
418.0	0	9	9
419.0	0	12	12
420.0	0	11	11
421.0	0	9	9
422.0	0	11	11
423.0	0	14	14
424.0	0	20	20
425.0	0	6	6
426.0	0	14	14
427.0	0	12	12
428.0	0	7	7
429.0	0	8	8
430.0	0	9	9
431.0	0	9	9
432.0	0	14	14
433.0	0	9	9
434.0	0	11	11
435.0	0	11	11
436.0	0	5	5
437.0	0	6	6
438.0	0	15	15
439.0	0	6	6
440.0	0	9	9
441.0	0	15	15
442.0	0	13	13
443.0	0	9	9
444.0	0	10	10
445.0	0	7	7
446.0	0	12	12
447.0	0	11	11
448.0	0	9	9
449.0	0	11	11
450.0	0	5	5
451.0	0	7	7
452.0	0	10	10
453.0	0	12	12
454.0	0	14	14
455.0	0	8	8
456.0	0	9	9
457.0	0	13	13
458.0	0	14	14
459.0	0	9	9
460.0	0	8	8
461.0	0	8	8
462.0	0	8	8
463.0	0	8	8
464.0	0	4	4
465.0	0	11	11
466.0	0	6	6
467.0	0	9	9
468.0	0	8	8
469.0	0	11	11
470.0	0	9	9
471.0	0	8	8
472.0	0	9	9
473.0	0	6	6
474.0	0	7	7
475.0	0	13	13
476.0	0	4	4
477.0	0	8	8
478.0	0	5	5
479.0	0	10	10
480.0	0	7	7
481.0	0	5	5
482.0	0	9	9
483.0	0	7	7
484.0	0	11	11
485.0	0	6	6
486.0	0	6	6
487.0	0	10	10
488.0	0	5	5
489.0	0	5	5
490.0	0	16	16
491.0	0	8	8
492.0	0	2	2
493.0	0	12	12
494.0	0	4	4
495.0	0	2	2
496.0	0	9	9
497.0	0	8	8
498.0	0	12	12
499.0	0	8	8
500.0	0	7	7
501.0	0	8	8
502.0	0	9	9
503.0	0	6	6
504.0	0	10	10
505.0	0	11	11
506.0	0	9	9
507.0	0	3	3
508.0	0	10	10
509.0	0	9	9
510.0	0	2	2
511.0	0	6	6
512.0	0	8	8
513.0	0	6	6
514.0	0	7	7
515.0	0	5	5
516.0	0	7	7
517.0	0	5	5
518.0	0	5	5
519.0	0	8	8
520.0	0	5	5
521.0	0	6	6
522.0	0	9	9
523.0	0	4	4
524.0	0	3	3
525.0	0	6	6
526.0	0	13	13
527.0	0	2	2
528.0	0	3	3
529.0	0	9	9
530.0	0	3	3
531.0	0	4	4
532.0	0	5	5
533.0	0	4	4
534.0	0	7	7
535.0	0	10	10
536.0	0	5	5
537.0	0	3	3
538.0	0	7	7
539.0	0	2	2
540.0	0	8	8
541.0	0	6	6
542.0	0	4	4
543.0	0	7	7
544.0	0	2	2
545.0	0	8	8
546.0	0	8	8
547.0	0	2	2
548.0	0	9	9
549.0	0	4	4
550.0	0	7	7
551.0	0	6	6
552.0	0	6	6
553.0	0	6	6
554.0	0	14	14
