task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
242	fe/58e01e	2594756	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (MCF7_REP2)	COMPLETED	0	2026-03-22 20:47:53.425	1m 3s	59s	91.6%	111.2 MB	125.8 MB	2.5 GB	200.4 MB
255	34/a31561	2596224	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (MCF7_REP1)	COMPLETED	0	2026-03-22 20:47:55.263	1m 2s	58s	91.8%	114.3 MB	128.9 MB	2.5 GB	199.1 MB
258	1d/6bb7fa	2602654	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (K562_REP1)	COMPLETED	0	2026-03-22 20:48:43.181	18.4s	18s	96.8%	43.7 MB	58.2 MB	815.2 MB	77.6 MB
259	40/ac387a	2603588	NFCORE_RNASEQ:RNASEQ:CUSTOM_DUMPSOFTWAREVERSIONS (1)	COMPLETED	0	2026-03-22 20:48:50.119	26.5s	115ms	100.0%	8 MB	15.4 MB	1.2 MB	295.2 KB
256	48/c6d8be	2600561	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (MCF7_REP1)	COMPLETED	0	2026-03-22 20:48:25.448	55.3s	54s	97.3%	111.9 MB	126.5 MB	2.6 GB	208.4 MB
240	a3/806900	2604746	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (H1_REP2)	COMPLETED	0	2026-03-22 20:49:20.792	6.8s	6s	93.7%	7.8 MB	18.5 MB	570.3 MB	570.2 MB
239	b0/80da70	2605249	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDCLIP (H1_REP2)	COMPLETED	0	2026-03-22 20:49:27.562	6.6s	6s	91.9%	7.6 MB	18.5 MB	540 MB	539.9 MB
245	12/09bea1	2605755	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (GM12878_REP2)	COMPLETED	0	2026-03-22 20:49:34.189	6.4s	4s	93.9%	7.8 MB	18.5 MB	411.1 MB	411 MB
246	32/c641fc	2606184	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDCLIP (GM12878_REP2)	COMPLETED	0	2026-03-22 20:49:40.567	4.8s	5s	93.4%	7.9 MB	18.5 MB	397 MB	397 MB
248	19/137354	2606579	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (H1_REP1)	COMPLETED	0	2026-03-22 20:49:45.361	8.6s	7s	93.5%	7.9 MB	18.5 MB	668.1 MB	668.1 MB
